Suburb,Type,Price,Distance,Zipcode,#Bedroom,#Bathroom,#-Car Garage,Lot_size,Region_name,Property_count
Abbotsford,h,1447500,2.5,3067,3,3,1,166,Northern Metropolitan,4019
Abbotsford,h,1290000,2.5,3067,3,1,1,168,Northern Metropolitan,4019
Abbotsford,h,1030000,2.5,3067,2,1,1,172,Northern Metropolitan,4019
Abbotsford,h,1172500,2.5,3067,2,1,1,195,Northern Metropolitan,4019
Abbotsford,h,1480000,2.5,3067,2,1,1,202,Northern Metropolitan,4019
Abbotsford,h,1242000,2.5,3067,2,1,1,249,Northern Metropolitan,4019
Abbotsford,h,1402500,3,3067,3,1,1,270,Northern Metropolitan,4019
Abbotsford,u,480000,3,3067,2,1,1,601,Northern Metropolitan,4019
Abbotsford,u,550000,3,3067,2,1,1,1521,Northern Metropolitan,4019
Abbotsford,u,750000,3,3067,2,1,1,2379,Northern Metropolitan,4019
Abbotsford,h,1135000,2.5,3067,2,2,2,98,Northern Metropolitan,4019
Abbotsford,t,1525000,3,3067,4,2,2,102,Northern Metropolitan,4019
Abbotsford,h,1600000,2.5,3067,3,1,2,120,Northern Metropolitan,4019
Abbotsford,h,1290000,2.5,3067,3,2,2,147,Northern Metropolitan,4019
Abbotsford,h,1000000,3,3067,3,1,2,196,Northern Metropolitan,4019
Abbotsford,h,1350000,2.5,3067,3,2,2,214,Northern Metropolitan,4019
Abbotsford,h,1097000,2.5,3067,3,1,2,220,Northern Metropolitan,4019
Abbotsford,h,1310000,2.5,3067,2,1,2,238,Northern Metropolitan,4019
Abbotsford,h,1636000,2.5,3067,2,1,2,256,Northern Metropolitan,4019
Abbotsford,h,1330000,2.5,3067,4,2,2,780,Northern Metropolitan,4019
Abbotsford,u,1090000,2.5,3067,3,2,2,4290,Northern Metropolitan,4019
Aberfeldie,h,470000,9.1,3040,2,1,1,70,Western Metropolitan,1543
Aberfeldie,u,726000,9.1,3040,3,1,1,229,Western Metropolitan,1543
Aberfeldie,u,1160000,9.1,3040,3,2,1,309,Western Metropolitan,1543
Aberfeldie,h,760000,9.1,3040,3,1,1,321,Western Metropolitan,1543
Aberfeldie,h,840000,9.1,3040,2,1,1,373,Western Metropolitan,1543
Aberfeldie,h,1190000,9.1,3040,3,1,1,465,Western Metropolitan,1543
Aberfeldie,h,1650000,7.5,3040,4,2,1,484,Western Metropolitan,1543
Aberfeldie,t,1300000,9.1,3040,3,3,1,593,Western Metropolitan,1543
Aberfeldie,u,380000,9.1,3040,2,1,1,622,Western Metropolitan,1543
Aberfeldie,h,1720000,9.1,3040,3,2,1,676,Western Metropolitan,1543
Aberfeldie,u,470000,9.1,3040,2,1,1,976,Western Metropolitan,1543
Aberfeldie,u,310000,7.5,3040,1,1,1,1715,Western Metropolitan,1543
Aberfeldie,t,935000,9.1,3040,3,2,2,217,Western Metropolitan,1543
Aberfeldie,h,1300000,9.1,3040,3,3,2,240,Western Metropolitan,1543
Aberfeldie,h,1330000,9.1,3040,4,2,2,273,Western Metropolitan,1543
Aberfeldie,h,1860000,9.1,3040,3,2,2,311,Western Metropolitan,1543
Aberfeldie,h,1195000,7.5,3040,3,2,2,381,Western Metropolitan,1543
Aberfeldie,h,1472000,7.5,3040,5,3,2,486,Western Metropolitan,1543
Aberfeldie,h,1195000,9.1,3040,3,2,2,496,Western Metropolitan,1543
Aberfeldie,h,2905000,7.5,3040,5,3,2,557,Western Metropolitan,1543
Aberfeldie,h,1346000,9.1,3040,2,2,2,559,Western Metropolitan,1543
Aberfeldie,h,1150000,9.1,3040,4,2,2,578,Western Metropolitan,1543
Aberfeldie,h,1200000,9.1,3040,4,2,2,578,Western Metropolitan,1543
Aberfeldie,h,1680000,7.5,3040,3,2,2,673,Western Metropolitan,1543
Aberfeldie,h,1325000,9.1,3040,4,2,2,674,Western Metropolitan,1543
Aberfeldie,h,1740000,9.1,3040,4,2,2,746,Western Metropolitan,1543
Aberfeldie,h,1646000,9.1,3040,4,3,2,757,Western Metropolitan,1543
Aberfeldie,h,1380000,7.5,3040,4,2,2,766,Western Metropolitan,1543
Aberfeldie,h,1705000,9.1,3040,2,1,2,809,Western Metropolitan,1543
Aberfeldie,h,1740000,9.1,3040,3,3,2,839,Western Metropolitan,1543
Aberfeldie,h,1350000,9.1,3040,3,2,2,1076,Western Metropolitan,1543
Aberfeldie,h,2400000,9.1,3040,3,2,2,1315,Western Metropolitan,1543
Aberfeldie,h,1436000,7.5,3040,4,3,3,511,Western Metropolitan,1543
Aberfeldie,h,3900000,9.1,3040,4,4,4,670,Western Metropolitan,1543
Aberfeldie,h,1830000,7.5,3040,5,4,4,730,Western Metropolitan,1543
Aberfeldie,h,1300000,9.1,3040,3,1,5,528,Western Metropolitan,1543
Aberfeldie,h,2050000,7.5,3040,3,2,6,402,Western Metropolitan,1543
Aberfeldie,h,1210000,7.5,3040,3,1,6,645,Western Metropolitan,1543
Airport West,t,450000,13.5,3042,2,1,1,110,Western Metropolitan,3464
Airport West,u,530000,13.5,3042,2,1,1,120,Western Metropolitan,3464
Airport West,u,480000,13.5,3042,2,1,1,128,Western Metropolitan,3464
Airport West,u,515000,13.5,3042,2,1,1,141,Western Metropolitan,3464
Airport West,u,510000,13.5,3042,2,1,1,141,Western Metropolitan,3464
Airport West,t,540000,13.5,3042,2,2,1,161,Western Metropolitan,3464
Airport West,u,462500,13.5,3042,2,1,1,164,Western Metropolitan,3464
Airport West,u,500000,13.5,3042,2,1,1,168,Western Metropolitan,3464
Airport West,u,454000,10.4,3042,2,1,1,182,Western Metropolitan,3464
Airport West,u,440000,13.5,3042,2,1,1,192,Western Metropolitan,3464
Airport West,t,780000,10.4,3042,3,2,1,195,Western Metropolitan,3464
Airport West,h,612000,13.5,3042,3,2,1,212,Western Metropolitan,3464
Airport West,u,700000,10.4,3042,3,2,1,239,Western Metropolitan,3464
Airport West,t,950000,10.4,3042,4,2,1,255,Western Metropolitan,3464
Airport West,u,752000,13.5,3042,3,1,1,265,Western Metropolitan,3464
Airport West,h,603000,13.5,3042,2,1,1,272,Western Metropolitan,3464
Airport West,h,600000,13.5,3042,2,1,1,290,Western Metropolitan,3464
Airport West,t,825000,13.5,3042,3,2,1,293,Western Metropolitan,3464
Airport West,t,856000,10.4,3042,3,2,1,300,Western Metropolitan,3464
Airport West,t,840000,13.5,3042,3,2,1,303,Western Metropolitan,3464
Airport West,u,850000,10.4,3042,3,2,1,307,Western Metropolitan,3464
Airport West,h,510000,13.5,3042,3,1,1,488,Western Metropolitan,3464
Airport West,h,685000,13.5,3042,3,1,1,579,Western Metropolitan,3464
Airport West,h,720000,13.5,3042,3,1,1,585,Western Metropolitan,3464
Airport West,h,872500,13.5,3042,3,1,1,594,Western Metropolitan,3464
Airport West,h,675000,13.5,3042,2,1,1,612,Western Metropolitan,3464
Airport West,h,720000,13.5,3042,2,1,1,620,Western Metropolitan,3464
Airport West,h,805000,13.5,3042,3,1,1,623,Western Metropolitan,3464
Airport West,h,1000001,10.4,3042,3,2,1,697,Western Metropolitan,3464
Airport West,h,975500,10.4,3042,3,1,1,697,Western Metropolitan,3464
Airport West,h,1064000,10.4,3042,3,1,1,767,Western Metropolitan,3464
Airport West,h,1250000,10.4,3042,3,1,1,773,Western Metropolitan,3464
Airport West,h,910000,13.5,3042,3,1,1,775,Western Metropolitan,3464
Airport West,h,985000,13.5,3042,3,1,1,841,Western Metropolitan,3464
Airport West,u,737500,10.4,3042,3,2,2,143,Western Metropolitan,3464
Airport West,t,700000,13.5,3042,3,2,2,165,Western Metropolitan,3464
Airport West,u,670000,10.4,3042,3,1,2,169,Western Metropolitan,3464
Airport West,h,640000,10.4,3042,3,1,2,219,Western Metropolitan,3464
Airport West,t,700000,13.5,3042,3,2,2,239,Western Metropolitan,3464
Airport West,t,730000,10.4,3042,3,1,2,242,Western Metropolitan,3464
Airport West,h,720000,13.5,3042,3,2,2,305,Western Metropolitan,3464
Airport West,h,715000,13.5,3042,3,2,2,422,Western Metropolitan,3464
Airport West,h,765000,13.5,3042,4,1,2,509,Western Metropolitan,3464
Airport West,h,978000,13.5,3042,4,3,2,532,Western Metropolitan,3464
Airport West,h,1026000,10.4,3042,0,3,2,534,Western Metropolitan,3464
Airport West,h,850000,10.4,3042,3,1,2,551,Western Metropolitan,3464
Airport West,h,810000,13.5,3042,3,3,2,555,Western Metropolitan,3464
Airport West,h,905000,10.4,3042,3,1,2,573,Western Metropolitan,3464
Airport West,h,845000,10.4,3042,3,1,2,589,Western Metropolitan,3464
Airport West,h,860000,10.4,3042,3,2,2,593,Western Metropolitan,3464
Airport West,h,755000,13.5,3042,3,2,2,596,Western Metropolitan,3464
Airport West,h,785000,13.5,3042,3,1,2,597,Western Metropolitan,3464
Airport West,h,662000,13.5,3042,3,1,2,612,Western Metropolitan,3464
Airport West,h,670000,13.5,3042,3,2,2,657,Western Metropolitan,3464
Airport West,h,961000,10.4,3042,3,1,2,717,Western Metropolitan,3464
Airport West,h,830000,13.5,3042,3,1,2,971,Western Metropolitan,3464
Airport West,h,725000,13.5,3042,6,3,2,976,Western Metropolitan,3464
Airport West,h,650000,10.4,3042,2,1,3,374,Western Metropolitan,3464
Airport West,h,790000,13.5,3042,3,1,3,614,Western Metropolitan,3464
Airport West,h,880000,10.4,3042,3,1,3,626,Western Metropolitan,3464
Airport West,h,900000,13.5,3042,4,2,3,628,Western Metropolitan,3464
Airport West,h,773000,13.5,3042,5,3,4,531,Western Metropolitan,3464
Airport West,h,1042000,13.5,3042,3,2,5,612,Western Metropolitan,3464
Airport West,h,895000,13.5,3042,3,1,6,1063,Western Metropolitan,3464
Albanvale,u,415000,14,3021,2,1,1,218,Western Metropolitan,1899
Albanvale,h,526500,14,3021,3,1,2,529,Western Metropolitan,1899
Albanvale,h,506000,14,3021,3,1,2,544,Western Metropolitan,1899
Albanvale,h,565000,14,3021,3,1,2,619,Western Metropolitan,1899
Albanvale,h,655000,14,3021,4,3,3,531,Western Metropolitan,1899
Albanvale,h,555000,14,3021,3,1,3,566,Western Metropolitan,1899
Albert Park,h,980000,3.3,3206,2,1,0,79,Southern Metropolitan,3280
Albert Park,h,985000,3.3,3206,1,1,0,81,Southern Metropolitan,3280
Albert Park,h,1190000,3.3,3206,2,1,0,111,Southern Metropolitan,3280
Albert Park,h,1275000,3.3,3206,2,1,0,120,Southern Metropolitan,3280
Albert Park,h,1850000,3.3,3206,3,2,0,128,Southern Metropolitan,3280
Albert Park,h,1300000,3.3,3206,3,1,0,129,Southern Metropolitan,3280
Albert Park,h,1436000,3.3,3206,2,1,0,130,Southern Metropolitan,3280
Albert Park,h,2155000,3.3,3206,3,2,0,130,Southern Metropolitan,3280
Albert Park,h,1340000,3.3,3206,2,1,0,136,Southern Metropolitan,3280
Albert Park,h,2115000,3.3,3206,3,2,0,140,Southern Metropolitan,3280
Albert Park,h,1562500,3.3,3206,2,1,0,141,Southern Metropolitan,3280
Albert Park,h,1110000,3.3,3206,1,1,0,147,Southern Metropolitan,3280
Albert Park,h,3010000,3.3,3206,3,2,0,147,Southern Metropolitan,3280
Albert Park,h,1322500,3.3,3206,2,1,0,149,Southern Metropolitan,3280
Albert Park,h,2030000,3.3,3206,3,2,0,152,Southern Metropolitan,3280
Albert Park,h,1455000,3.3,3206,2,1,0,159,Southern Metropolitan,3280
Albert Park,h,1535000,3,3206,2,1,0,171,Southern Metropolitan,3280
Albert Park,h,1900000,3.3,3206,3,1,0,209,Southern Metropolitan,3280
Albert Park,h,2850000,3.3,3206,3,2,0,211,Southern Metropolitan,3280
Albert Park,h,1810000,3.3,3206,2,1,0,240,Southern Metropolitan,3280
Albert Park,h,1000000,3.3,3206,2,1,0,288,Southern Metropolitan,3280
Albert Park,h,2950000,3.3,3206,4,1,0,306,Southern Metropolitan,3280
Albert Park,u,685000,3,3206,2,1,0,324,Southern Metropolitan,3280
Albert Park,h,1800000,3.3,3206,3,2,1,90,Southern Metropolitan,3280
Albert Park,t,1500000,3.3,3206,2,1,1,115,Southern Metropolitan,3280
Albert Park,h,2100000,3.3,3206,2,1,1,120,Southern Metropolitan,3280
Albert Park,h,1800000,3,3206,3,1,1,130,Southern Metropolitan,3280
Albert Park,h,1800000,3.3,3206,3,2,1,132,Southern Metropolitan,3280
Albert Park,h,1505000,3,3206,3,1,1,149,Southern Metropolitan,3280
Albert Park,h,2300000,3.3,3206,4,2,1,153,Southern Metropolitan,3280
Albert Park,h,1750000,3.3,3206,2,1,1,162,Southern Metropolitan,3280
Albert Park,h,2340000,3,3206,3,2,1,162,Southern Metropolitan,3280
Albert Park,h,2150000,3.3,3206,3,1,1,163,Southern Metropolitan,3280
Albert Park,h,1380000,3,3206,2,1,1,164,Southern Metropolitan,3280
Albert Park,h,2500000,3,3206,3,2,1,165,Southern Metropolitan,3280
Albert Park,h,1550000,3.3,3206,2,1,1,167,Southern Metropolitan,3280
Albert Park,h,2615000,3.3,3206,3,2,1,177,Southern Metropolitan,3280
Albert Park,h,1700000,3.3,3206,3,1,1,178,Southern Metropolitan,3280
Albert Park,h,2140000,3.3,3206,3,2,1,183,Southern Metropolitan,3280
Albert Park,h,2035000,3.3,3206,3,1,1,185,Southern Metropolitan,3280
Albert Park,h,1900000,3,3206,3,1,1,186,Southern Metropolitan,3280
Albert Park,h,2120000,3.3,3206,2,1,1,199,Southern Metropolitan,3280
Albert Park,h,1801000,3.3,3206,3,1,1,202,Southern Metropolitan,3280
Albert Park,h,2000000,3.3,3206,3,2,1,211,Southern Metropolitan,3280
Albert Park,h,2575000,3.3,3206,3,2,1,228,Southern Metropolitan,3280
Albert Park,h,2130000,3.3,3206,2,1,1,236,Southern Metropolitan,3280
Albert Park,h,2100000,3.3,3206,5,2,1,237,Southern Metropolitan,3280
Albert Park,h,2000000,3.3,3206,3,1,1,238,Southern Metropolitan,3280
Albert Park,h,2225000,3,3206,3,1,1,241,Southern Metropolitan,3280
Albert Park,h,1800000,3.3,3206,3,1,1,253,Southern Metropolitan,3280
Albert Park,h,2905000,3,3206,2,1,1,254,Southern Metropolitan,3280
Albert Park,h,2810000,3.3,3206,2,1,1,263,Southern Metropolitan,3280
Albert Park,h,2800000,3.3,3206,4,3,1,327,Southern Metropolitan,3280
Albert Park,h,3560000,3,3206,4,1,1,327,Southern Metropolitan,3280
Albert Park,h,4735000,3.3,3206,4,2,1,330,Southern Metropolitan,3280
Albert Park,h,1740000,3.3,3206,3,2,2,147,Southern Metropolitan,3280
Albert Park,h,2015000,3,3206,2,1,2,178,Southern Metropolitan,3280
Albert Park,h,2120000,3,3206,3,1,2,225,Southern Metropolitan,3280
Albert Park,h,3755000,3.3,3206,3,2,2,325,Southern Metropolitan,3280
Albert Park,t,1550000,3.3,3206,3,2,2,718,Southern Metropolitan,3280
Albion,h,570000,10.5,3020,3,1,0,423,Western Metropolitan,2185
Albion,h,625000,13.9,3020,3,1,0,695,Western Metropolitan,2185
Albion,h,730000,13.9,3020,2,1,0,697,Western Metropolitan,2185
Albion,h,840000,13.9,3020,3,1,0,697,Western Metropolitan,2185
Albion,u,145000,13.9,3020,2,1,1,36,Western Metropolitan,2185
Albion,t,300000,13.9,3020,2,1,1,74,Western Metropolitan,2185
Albion,t,340000,10.5,3020,2,1,1,100,Western Metropolitan,2185
Albion,u,600000,13.9,3020,3,1,1,181,Western Metropolitan,2185
Albion,u,420000,13.9,3020,2,1,1,192,Western Metropolitan,2185
Albion,u,463000,13.9,3020,3,1,1,199,Western Metropolitan,2185
Albion,u,675000,10.5,3020,3,1,1,284,Western Metropolitan,2185
Albion,h,541000,13.9,3020,2,1,1,497,Western Metropolitan,2185
Albion,h,600000,13.9,3020,2,1,1,534,Western Metropolitan,2185
Albion,h,820000,10.5,3020,4,2,1,604,Western Metropolitan,2185
Albion,h,685000,13.9,3020,3,1,1,697,Western Metropolitan,2185
Albion,h,600000,13.9,3020,3,1,1,697,Western Metropolitan,2185
Albion,h,660000,13.9,3020,4,1,1,697,Western Metropolitan,2185
Albion,h,760000,10.5,3020,3,1,1,697,Western Metropolitan,2185
Albion,h,720000,13.9,3020,3,1,1,706,Western Metropolitan,2185
Albion,u,200000,13.9,3020,1,1,1,1175,Western Metropolitan,2185
Albion,u,185000,13.9,3020,1,1,1,2347,Western Metropolitan,2185
Albion,t,580000,10.5,3020,3,2,2,175,Western Metropolitan,2185
Albion,u,600000,10.5,3020,3,2,2,247,Western Metropolitan,2185
Albion,u,580000,13.9,3020,3,2,2,250,Western Metropolitan,2185
Albion,h,460000,13.9,3020,2,1,2,463,Western Metropolitan,2185
Albion,h,613000,10.5,3020,3,1,2,465,Western Metropolitan,2185
Albion,h,760000,13.9,3020,3,1,2,534,Western Metropolitan,2185
Albion,h,593000,13.9,3020,3,2,2,605,Western Metropolitan,2185
Albion,h,765000,13.9,3020,2,1,2,672,Western Metropolitan,2185
Albion,h,670000,13.9,3020,2,1,2,697,Western Metropolitan,2185
Albion,h,700000,13.9,3020,3,1,2,697,Western Metropolitan,2185
Albion,h,816000,13.9,3020,4,1,2,837,Western Metropolitan,2185
Albion,h,621000,13.9,3020,3,1,3,547,Western Metropolitan,2185
Albion,h,730000,13.9,3020,3,2,3,628,Western Metropolitan,2185
Albion,h,787000,10.5,3020,3,1,3,716,Western Metropolitan,2185
Albion,h,905000,10.5,3020,5,2,3,732,Western Metropolitan,2185
Albion,h,791000,13.9,3020,3,1,3,743,Western Metropolitan,2185
Albion,h,800000,13.9,3020,4,2,5,689,Western Metropolitan,2185
Albion,u,560000,13.9,3020,3,2,7,420,Western Metropolitan,2185
Alphington,h,1485000,6.4,3078,3,0,0,597,Northern Metropolitan,2211
Alphington,h,330000,5.7,3078,1,1,1,60,Northern Metropolitan,2211
Alphington,u,525500,6.4,3078,2,1,1,88,Northern Metropolitan,2211
Alphington,h,865000,6.4,3078,3,1,1,180,Northern Metropolitan,2211
Alphington,u,820000,6.4,3078,2,1,1,183,Northern Metropolitan,2211
Alphington,h,1170000,5.7,3078,3,1,1,268,Northern Metropolitan,2211
Alphington,h,1625000,5.7,3078,3,2,1,300,Northern Metropolitan,2211
Alphington,h,1717500,6.4,3078,4,2,1,599,Northern Metropolitan,2211
Alphington,u,320000,6.4,3078,1,1,1,915,Northern Metropolitan,2211
Alphington,h,1110000,6.4,3078,3,2,2,208,Northern Metropolitan,2211
Alphington,h,1492000,6.4,3078,3,2,2,411,Northern Metropolitan,2211
Alphington,t,1285000,6.4,3078,3,2,2,528,Northern Metropolitan,2211
Alphington,h,1900000,6.4,3078,4,2,2,556,Northern Metropolitan,2211
Alphington,h,2100000,6.4,3078,4,2,2,575,Northern Metropolitan,2211
Alphington,h,1540000,6.4,3078,3,1,2,592,Northern Metropolitan,2211
Alphington,h,1975000,6.4,3078,4,2,2,600,Northern Metropolitan,2211
Alphington,h,1800000,5.7,3078,4,1,2,605,Northern Metropolitan,2211
Alphington,h,1830000,6.4,3078,4,2,2,606,Northern Metropolitan,2211
Alphington,h,2000000,6.4,3078,3,3,2,686,Northern Metropolitan,2211
Alphington,h,1680000,5.7,3078,4,3,2,720,Northern Metropolitan,2211
Alphington,h,2345000,5.7,3078,4,2,2,803,Northern Metropolitan,2211
Alphington,h,1650000,5.7,3078,3,1,2,827,Northern Metropolitan,2211
Alphington,h,1165000,6.4,3078,3,1,2,979,Northern Metropolitan,2211
Alphington,t,805000,6.4,3078,2,2,3,155,Northern Metropolitan,2211
Alphington,h,2220000,5.7,3078,4,2,3,580,Northern Metropolitan,2211
Alphington,h,1950000,6.4,3078,4,2,3,589,Northern Metropolitan,2211
Alphington,h,2750000,5.7,3078,4,3,4,597,Northern Metropolitan,2211
Alphington,h,2840000,6.4,3078,5,4,4,809,Northern Metropolitan,2211
Alphington,h,2000000,6.4,3078,3,2,4,853,Northern Metropolitan,2211
Altona,t,605100,13.8,3018,3,2,0,265,Western Metropolitan,5301
Altona,h,1030000,13.8,3018,4,1,0,797,Western Metropolitan,5301
Altona,u,458000,11,3018,2,1,1,63,Western Metropolitan,5301
Altona,u,406000,13.8,3018,2,1,1,65,Western Metropolitan,5301
Altona,u,730000,13.8,3018,3,2,1,69,Western Metropolitan,5301
Altona,u,730000,13.8,3018,3,2,1,70,Western Metropolitan,5301
Altona,u,730000,13.8,3018,3,2,1,70,Western Metropolitan,5301
Altona,u,510000,13.8,3018,2,1,1,127,Western Metropolitan,5301
Altona,u,540000,11,3018,2,1,1,132,Western Metropolitan,5301
Altona,u,447000,13.8,3018,2,1,1,137,Western Metropolitan,5301
Altona,h,535600,13.8,3018,2,1,1,154,Western Metropolitan,5301
Altona,u,620000,13.8,3018,2,1,1,168,Western Metropolitan,5301
Altona,u,580000,13.8,3018,2,2,1,175,Western Metropolitan,5301
Altona,u,577000,13.8,3018,3,2,1,205,Western Metropolitan,5301
Altona,u,580000,13.8,3018,2,1,1,225,Western Metropolitan,5301
Altona,u,801250,11,3018,2,1,1,245,Western Metropolitan,5301
Altona,u,670000,11,3018,3,2,1,284,Western Metropolitan,5301
Altona,u,767000,11,3018,3,2,1,305,Western Metropolitan,5301
Altona,h,520000,13.8,3018,3,2,1,352,Western Metropolitan,5301
Altona,h,950000,11,3018,3,1,1,399,Western Metropolitan,5301
Altona,h,890000,11,3018,4,1,1,499,Western Metropolitan,5301
Altona,h,683500,13.8,3018,3,1,1,530,Western Metropolitan,5301
Altona,h,880000,13.8,3018,3,3,1,577,Western Metropolitan,5301
Altona,h,853000,11,3018,3,1,1,600,Western Metropolitan,5301
Altona,h,660000,13.8,3018,3,1,1,602,Western Metropolitan,5301
Altona,h,857000,13.8,3018,2,2,1,675,Western Metropolitan,5301
Altona,h,1225000,11,3018,3,1,1,697,Western Metropolitan,5301
Altona,h,1030000,11,3018,2,1,1,743,Western Metropolitan,5301
Altona,h,1280000,11,3018,3,1,1,798,Western Metropolitan,5301
Altona,h,1500000,13.8,3018,3,1,1,929,Western Metropolitan,5301
Altona,u,425000,13.8,3018,2,1,2,115,Western Metropolitan,5301
Altona,t,815000,11,3018,3,2,2,159,Western Metropolitan,5301
Altona,t,597500,13.8,3018,2,1,2,178,Western Metropolitan,5301
Altona,u,605000,13.8,3018,3,1,2,181,Western Metropolitan,5301
Altona,t,600000,13.8,3018,2,1,2,190,Western Metropolitan,5301
Altona,t,705000,13.8,3018,3,2,2,197,Western Metropolitan,5301
Altona,t,765000,11,3018,3,2,2,200,Western Metropolitan,5301
Altona,t,743000,13.8,3018,3,2,2,211,Western Metropolitan,5301
Altona,u,660000,11,3018,3,1,2,211,Western Metropolitan,5301
Altona,u,605000,13.8,3018,3,2,2,230,Western Metropolitan,5301
Altona,t,800000,13.8,3018,3,2,2,280,Western Metropolitan,5301
Altona,t,820000,11,3018,4,2,2,288,Western Metropolitan,5301
Altona,t,720000,13.8,3018,2,1,2,292,Western Metropolitan,5301
Altona,u,630000,13.8,3018,2,1,2,311,Western Metropolitan,5301
Altona,h,712000,13.8,3018,3,1,2,363,Western Metropolitan,5301
Altona,h,1120000,13.8,3018,3,1,2,506,Western Metropolitan,5301
Altona,h,753000,13.8,3018,3,2,2,529,Western Metropolitan,5301
Altona,h,840000,13.8,3018,3,2,2,534,Western Metropolitan,5301
Altona,h,1020000,11,3018,3,1,2,570,Western Metropolitan,5301
Altona,h,840000,13.8,3018,3,1,2,577,Western Metropolitan,5301
Altona,h,920000,11,3018,3,2,2,584,Western Metropolitan,5301
Altona,h,740000,13.8,3018,3,1,2,604,Western Metropolitan,5301
Altona,h,678000,13.8,3018,3,1,2,606,Western Metropolitan,5301
Altona,h,935000,11,3018,4,2,2,629,Western Metropolitan,5301
Altona,h,1005000,11,3018,3,1,2,636,Western Metropolitan,5301
Altona,h,1070000,13.8,3018,4,2,2,695,Western Metropolitan,5301
Altona,h,1165000,13.8,3018,3,1,2,700,Western Metropolitan,5301
Altona,h,980000,13.8,3018,3,1,2,724,Western Metropolitan,5301
Altona,h,1295000,13.8,3018,3,1,2,725,Western Metropolitan,5301
Altona,h,845000,13.8,3018,4,1,2,745,Western Metropolitan,5301
Altona,h,913000,11,3018,3,2,3,530,Western Metropolitan,5301
Altona,h,931000,13.8,3018,4,2,3,532,Western Metropolitan,5301
Altona,h,1248500,11,3018,3,1,3,710,Western Metropolitan,5301
Altona,h,1525000,13.8,3018,5,3,3,729,Western Metropolitan,5301
Altona,h,1005000,11,3018,3,1,4,575,Western Metropolitan,5301
Altona,h,1360000,11,3018,4,2,4,615,Western Metropolitan,5301
Altona,h,635000,13.8,3018,3,1,4,625,Western Metropolitan,5301
Altona,h,780000,13.8,3018,4,1,4,655,Western Metropolitan,5301
Altona,h,900000,13.8,3018,3,1,4,697,Western Metropolitan,5301
Altona,h,1480000,13.8,3018,5,3,4,725,Western Metropolitan,5301
Altona,h,1335000,13.8,3018,3,1,4,777,Western Metropolitan,5301
Altona,h,1780000,13.8,3018,4,3,6,1057,Western Metropolitan,5301
Altona Meadows,u,440500,15.5,3028,3,1,1,205,Western Metropolitan,7630
Altona Meadows,h,590000,15.5,3028,3,1,2,459,Western Metropolitan,7630
Altona Meadows,h,620000,15.5,3028,3,1,2,466,Western Metropolitan,7630
Altona Meadows,h,820000,15.5,3028,3,2,2,530,Western Metropolitan,7630
Altona Meadows,h,750000,15.5,3028,4,2,2,636,Western Metropolitan,7630
Altona Meadows,h,810000,15.5,3028,4,2,2,749,Western Metropolitan,7630
Altona North,t,421000,11.1,3025,2,1,1,77,Western Metropolitan,5132
Altona North,u,292000,11.1,3025,2,1,1,153,Western Metropolitan,5132
Altona North,h,510000,9.4,3025,2,1,1,170,Western Metropolitan,5132
Altona North,u,451500,9.4,3025,3,1,1,180,Western Metropolitan,5132
Altona North,t,640000,11.1,3025,2,1,1,252,Western Metropolitan,5132
Altona North,t,847500,11.1,3025,4,3,1,252,Western Metropolitan,5132
Altona North,h,730000,9.4,3025,3,1,1,276,Western Metropolitan,5132
